NO,Comment
1,Wow
2,harima sarali
3,Swabhaa dahama lassanaata vidinawa yoga thulin..
4,Ma anumodan vuwa. Theruwn Saranai.
5,Isthuthi Sir. Theruwan sarani
6,Shiva?
7,No. Loard Avalokitheshwara. He will be a future Compassion Bhudha
8,I can't wait to come back and train with you again. Just training with you is healin
9,Amarui thamai ithin ikmanata enna hithuwata thawamath bari unane
10,Much needed thing for me these days 
11,I still remember the way you guided me to this pose. That was awesome 
12,Thank you Madhuka Naotunna How is your yoga practices going on ? 
13,Hariyata hari ohuge kathawa.
14,Yoga gena post tikak karamuda
15,wedagath lipiyak sir
