,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"dananjaya premachandra","2021-08-18 16:52:46",1,no,no,"බුදුසරණ යි.....ඹබතුමාට....",UCX4f9GUF2t8AnEvlPGn8Y8A,Ugx8TXO06FjSXYtoZsp4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=Ugx8TXO06FjSXYtoZsp4AaABAg
2,,"Dilshan Raj","2021-08-18 18:41:33",2,no,no,"Isthuthi  obata",UCGXy2W4sEFnpWDJEJM8QZjA,UgwY3w_lEk-4cP7fTqV4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgwY3w_lEk-4cP7fTqV4AaABAg
3,,"Anu La","2021-08-19 07:31:33",2,no,no,🙏🙏🙏🌺🌺🌺,UCyYhJPnN4UXZg1BGE3N6JTw,Ugwb2RteU5dBLY1IxJR4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=Ugwb2RteU5dBLY1IxJR4AaABAg
4,,"AJ Sanjana","2021-08-19 15:09:58",2,no,no,"ගොඩාක්  පින්  සර්
🙏🙏🙏
දිර්ඝායුෂ ලැබෙිවා !!!",UCwAYwm9dHqXI_mRkHcUrYVA,Ugy8usiED9nP3dLe0Uh4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=Ugy8usiED9nP3dLe0Uh4AaABAg
5,,"Nilmini Zoysa","2021-08-21 12:46:48",2,no,no,"Anantha buduguna balan pihita ashirvadaya labawa! Siyalu devi pihita ashirvadaya labawa!",UCTo-RbxGYPJvJKaI6p6f2Lw,UgyJMOejhRamzJXkhWR4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgyJMOejhRamzJXkhWR4AaABAg
6,,"නිම් තෙර","2021-08-22 08:40:43",1,no,no,"👍🙏බුදුසරණයි!
 රුක්ෂාන් ✍️👌",UCj3BlRTq91SdF838qhVZgLQ,UgziWRtZCt3jGhdWyCR4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgziWRtZCt3jGhdWyCR4AaABAg
7,,"Manik Udagedara","2021-08-22 13:49:57",3,no,no,"ස්තුතියි ඔබ තුමාට ❤️❤️",UCNwc-rxLoyle5uRmSQhBKwQ,UgyjU7KRhMKju2e4BTR4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgyjU7KRhMKju2e4BTR4AaABAg
8,,"Serin Fernando","2021-11-07 01:15:55",0,no,no,"Rukshan sir sirasa tv eke karapu sith diyadahara yoga mama balala thiyanawa godak hodai",UCuukrKNF1CgjrmwqSlsgWQg,Ugx6FvYsCDGKfNcpdU94AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=Ugx6FvYsCDGKfNcpdU94AaABAg
9,,"Lali Kumari","2021-12-07 02:49:41",1,no,no,"Theruwan saranai obathumata !!",UCDRpKrl9GrMiy1HBE3N9W_A,Ugx-UFBTE-pjgF1lNbF4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=Ugx-UFBTE-pjgF1lNbF4AaABAg
10,,Kavindi,"2021-12-07 04:13:18",2,no,no,"ස්තූතිය ඔබතුමාට ❤️",UCnUxjH9jlAeC5r0qUPUx38g,UgyLJbO-eC1IPGp_9BV4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgyLJbO-eC1IPGp_9BV4AaABAg
11,,"Thanuja Deepani","2021-12-08 06:36:51",1,no,no,"ස්තුතියි ඔබ තුමාට",UCMSf4bmRaYkVpFV7v-KfhGA,UgyJXj35eK-JxhmWs2x4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgyJXj35eK-JxhmWs2x4AaABAg
12,,TGAK,"2021-12-20 21:48:42",0,no,no,"මේ ටිබෙටයේ තිබෙන මෙඩිසින් බුද්දා සුත්‍රයනේ..",UChwkXbbt15bHaVoz1FnNeIg,Ugy9c-b0uw1NJD9sM3N4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=Ugy9c-b0uw1NJD9sM3N4AaABAg
13,,"Sandareka Erandi","2022-01-08 04:55:24",1,no,no,"ඕං නමෝ භගවතෝ , 
භේසජ්ජ ගුරු වෛදූර්‍ය ප්‍රභ රාජාය, 
තතාගතා යාර්හතේ සම්‍යක් සම්බුද්දාය තද්යතා ඕං,
භේසජ්ජේ භේසජ්ජේ මහා භේසජ්ජ රාජා සමුද්ගතේ ස්වාහා",UCYO1nw1X3n7q0U_iOhCh4OQ,UgzCAw2DhpQ1KSs7Est4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgzCAw2DhpQ1KSs7Est4AaABAg
14,,Nirosha,"2022-03-09 19:21:48",0,no,no,"ස්තුතිවන්ත  වෙනවා ඔබතුමාට",UCsCsouancsKPYVx0Zcao1qw,UgyuCXynOLRp1p7ZPHh4AaABAg,https://www.youtube.com/watch?v=5Na_gSEMzws&lc=UgyuCXynOLRp1p7ZPHh4AaABAg
